"","modzcta","casecount","week_ending"
"213",10039,9,2020-08-22
"214",10040,12,2020-08-22
"215",10044,2,2020-08-22
"216",10065,8,2020-08-22
"217",10069,1,2020-08-22
"218",10075,1,2020-08-22
"219",10128,4,2020-08-22
"220",10280,0,2020-08-22
"221",10282,1,2020-08-22
"222",10301,5,2020-08-22
"223",10302,1,2020-08-22
"224",10303,1,2020-08-22
"225",10304,14,2020-08-22
"226",10305,7,2020-08-22
"227",10306,10,2020-08-22
"228",10307,2,2020-08-22
"229",10308,12,2020-08-22
"230",10309,5,2020-08-22
"231",10310,3,2020-08-22
"232",10312,9,2020-08-22
"233",10314,24,2020-08-22
"234",10451,23,2020-08-22
"235",10452,29,2020-08-22
"236",10453,33,2020-08-22
"237",10454,8,2020-08-22
"238",10455,11,2020-08-22
"239",10456,22,2020-08-22
"240",10457,24,2020-08-22
"241",10458,27,2020-08-22
"242",10459,17,2020-08-22
"243",10460,18,2020-08-22
"244",10461,8,2020-08-22
"245",10462,29,2020-08-22
"246",10463,15,2020-08-22
"247",10464,0,2020-08-22
"248",10465,7,2020-08-22
"249",10466,15,2020-08-22
"250",10467,14,2020-08-22
"251",10468,19,2020-08-22
"252",10469,15,2020-08-22
"253",10470,5,2020-08-22
"254",10471,3,2020-08-22
"255",10472,18,2020-08-22
"256",10473,12,2020-08-22
"257",10474,2,2020-08-22
"258",10475,6,2020-08-22
"259",11004,0,2020-08-22
"260",11101,8,2020-08-22
"261",11102,9,2020-08-22
"262",11103,13,2020-08-22
"263",11104,3,2020-08-22
"264",11105,8,2020-08-22
"265",11106,5,2020-08-22
"266",11109,2,2020-08-22
"267",11201,10,2020-08-22
"268",11203,8,2020-08-22
"269",11204,28,2020-08-22
"270",11205,6,2020-08-22
"271",11206,13,2020-08-22
"272",11207,6,2020-08-22
"273",11208,25,2020-08-22
"274",11209,17,2020-08-22
"275",11210,18,2020-08-22
"276",11211,17,2020-08-22
"277",11212,9,2020-08-22
"278",11213,10,2020-08-22
"279",11214,13,2020-08-22
"280",11215,8,2020-08-22
"281",11216,3,2020-08-22
"282",11217,7,2020-08-22
"283",11218,14,2020-08-22
"284",11219,34,2020-08-22
"285",11220,28,2020-08-22
"286",11221,12,2020-08-22
"287",11222,4,2020-08-22
"288",11223,12,2020-08-22
"289",11224,8,2020-08-22
"290",11225,7,2020-08-22
"291",11226,18,2020-08-22
"292",11228,9,2020-08-22
"293",11229,16,2020-08-22
"294",11230,28,2020-08-22
"295",11231,1,2020-08-22
"296",11232,5,2020-08-22
"297",11233,7,2020-08-22
"298",11234,19,2020-08-22
"299",11235,17,2020-08-22
"300",11236,13,2020-08-22
"301",11237,11,2020-08-22
"302",11238,8,2020-08-22
"303",11239,2,2020-08-22
"304",11354,5,2020-08-22
"305",11355,15,2020-08-22
"306",11356,7,2020-08-22
"307",11357,12,2020-08-22
"308",11358,4,2020-08-22
"309",11360,3,2020-08-22
"310",11361,4,2020-08-22
"311",11362,2,2020-08-22
"312",11363,1,2020-08-22
"313",11364,5,2020-08-22
"314",11365,6,2020-08-22
"315",11366,5,2020-08-22
"316",11367,11,2020-08-22
"317",11368,30,2020-08-22
"318",11369,5,2020-08-22
"319",11370,11,2020-08-22
"320",11372,23,2020-08-22
"321",11373,19,2020-08-22
"322",11374,7,2020-08-22
"323",11375,25,2020-08-22
"324",11377,12,2020-08-22
"325",11378,5,2020-08-22
"326",11379,7,2020-08-22
"327",11385,18,2020-08-22
"328",11411,1,2020-08-22
"329",11412,3,2020-08-22
"330",11413,5,2020-08-22
"331",11414,6,2020-08-22
"332",11415,4,2020-08-22
"333",11416,9,2020-08-22
"334",11417,6,2020-08-22
"335",11418,5,2020-08-22
"336",11419,9,2020-08-22
"337",11420,19,2020-08-22
"338",11421,9,2020-08-22
"339",11422,9,2020-08-22
"340",11423,8,2020-08-22
"341",11426,3,2020-08-22
"342",11427,5,2020-08-22
"343",11428,4,2020-08-22
"344",11429,2,2020-08-22
"345",11432,20,2020-08-22
"346",11433,6,2020-08-22
"347",11434,9,2020-08-22
"348",11435,12,2020-08-22
"349",11436,2,2020-08-22
"350",11691,26,2020-08-22
"351",11692,4,2020-08-22
"352",11693,0,2020-08-22
"353",11694,7,2020-08-22
"354",11697,1,2020-08-22
"355",10001,2,2020-08-29
"356",10002,8,2020-08-29
"357",10003,11,2020-08-29
"358",10004,0,2020-08-29
"359",10005,2,2020-08-29
"360",10006,2,2020-08-29
"361",10007,1,2020-08-29
"362",10009,7,2020-08-29
"363",10010,9,2020-08-29
"364",10011,7,2020-08-29
"365",10012,4,2020-08-29
"366",10013,2,2020-08-29
"367",10014,4,2020-08-29
"368",10016,15,2020-08-29
"369",10017,2,2020-08-29
"370",10018,0,2020-08-29
"371",10019,8,2020-08-29
"372",10021,7,2020-08-29
"373",10022,5,2020-08-29
"374",10023,1,2020-08-29
"375",10024,3,2020-08-29
"376",10025,16,2020-08-29
"377",10026,5,2020-08-29
"378",10027,9,2020-08-29
"379",10028,5,2020-08-29
"380",10029,18,2020-08-29
"381",10030,7,2020-08-29
"382",10031,19,2020-08-29
"383",10032,20,2020-08-29
"384",10033,12,2020-08-29
"385",10034,12,2020-08-29
"386",10035,5,2020-08-29
"387",10036,4,2020-08-29
"388",10037,5,2020-08-29
"389",10038,13,2020-08-29
"390",10039,3,2020-08-29
"391",10040,20,2020-08-29
"392",10044,1,2020-08-29
"393",10065,4,2020-08-29
"394",10069,2,2020-08-29
"395",10075,3,2020-08-29
"396",10128,6,2020-08-29
"397",10280,0,2020-08-29
"398",10282,1,2020-08-29
"399",10301,11,2020-08-29
"400",10302,4,2020-08-29
"401",10303,7,2020-08-29
"402",10304,8,2020-08-29
"403",10305,9,2020-08-29
"404",10306,10,2020-08-29
"405",10307,1,2020-08-29
"406",10308,3,2020-08-29
"407",10309,2,2020-08-29
"408",10310,10,2020-08-29
"409",10312,11,2020-08-29
"410",10314,19,2020-08-29
"411",10451,9,2020-08-29
"412",10452,27,2020-08-29
"413",10453,33,2020-08-29
"414",10454,9,2020-08-29
"415",10455,16,2020-08-29
"416",10456,27,2020-08-29
"417",10457,16,2020-08-29
"418",10458,24,2020-08-29
"419",10459,17,2020-08-29
"420",10460,15,2020-08-29
"421",10461,19,2020-08-29
"422",10462,26,2020-08-29
"423",10463,22,2020-08-29
"424",10464,0,2020-08-29
"425",10465,11,2020-08-29
"426",10466,10,2020-08-29
"427",10467,23,2020-08-29
"428",10468,35,2020-08-29
"429",10469,14,2020-08-29
"430",10470,4,2020-08-29
"431",10471,7,2020-08-29
"432",10472,20,2020-08-29
"433",10473,17,2020-08-29
"434",10474,2,2020-08-29
"435",10475,5,2020-08-29
"436",11004,0,2020-08-29
"437",11101,12,2020-08-29
"438",11102,5,2020-08-29
"439",11103,6,2020-08-29
"440",11104,6,2020-08-29
"441",11105,14,2020-08-29
"442",11106,4,2020-08-29
"443",11109,0,2020-08-29
"444",11201,14,2020-08-29
"445",11203,17,2020-08-29
"446",11204,26,2020-08-29
"447",11205,14,2020-08-29
"448",11206,14,2020-08-29
"449",11207,13,2020-08-29
"450",11208,25,2020-08-29
"451",11209,23,2020-08-29
"452",11210,26,2020-08-29
"453",11211,21,2020-08-29
"454",11212,13,2020-08-29
"455",11213,14,2020-08-29
"456",11214,16,2020-08-29
"457",11215,9,2020-08-29
"458",11216,10,2020-08-29
"459",11217,8,2020-08-29
"460",11218,21,2020-08-29
"461",11219,33,2020-08-29
"462",11220,20,2020-08-29
"463",11221,17,2020-08-29
"464",11222,3,2020-08-29
"465",11223,11,2020-08-29
"466",11224,9,2020-08-29
"467",11225,11,2020-08-29
"468",11226,23,2020-08-29
"469",11228,8,2020-08-29
